57123							
tu20_355_05							
20669	48108	-1	401600000	-27.126	-42.82	-23.766	-59.703
20669	67055	0	401600000	-27.063	-42.732	-37.481	-92.97
20669	85692	0	401600000	-26.99	-42.609	-21.278	-16.487
20670	69480	-2	401600000	-26.644	-42.471	-30.742	-62.036
20672	4295	-2	401600000	-26.163	-41.866	-24.161	-32.593
20672	22518	1	401600000	-26.136	-41.784	-23.278	-54.872
20672	59369	0	401600000	-25.982	-41.579	-23.83	-31.517
20673	8818	-2	401600000	-25.782	-41.467	-31.631	-70.048
20673	82146	-2	401600000	-25.372	-41.232	-14.385	7.325
20674	13021	1	401600000	-25.237	-41.151	-29.132	-23.451
20674	47420	1	401600000	-25.095	-41.204	-22.644	-52.651
20676	523	2	401600000	-24.477	-40.863	-22.074	-29.975
20676	20248	0	401600000	-24.39	-40.811	-26.523	-33.623
20677	40297	-1	401600000	-24.068	-40.533	-28.761	-19.174
20678	45230	-2	401600000	-23.807	-40.291	-19.177	-61.079
20678	61318	1	401600000	-23.747	-40.291	-26.5	-52.736
20679	66895	-1	401600000	-23.412	-40.154	-35.478	-96.338
20679	83931	-1	401600000	-23.229	-40.432	-15.526	-5.943
20680	51040	-2	401600000	-23.036	-39.949	-13.972	-82.517
20680	68402	0	401600000	-23.039	-40.031	-13.314	5.144
20680	68421	0	401600000	-23.044	-40.037	-27.01	-58.185
20681	20637	-2	401600000	-22.836	-40	-12.924	-86.004
20681	76387	-2	401600000	-22.836	-39.861	-30.288	-74.914
20682	22012	-2	401600000	-22.788	-40.602	-21.036	-46.767
20682	59194	1	401600000	-22.654	-39.871	-21.345	-33.859
20684	12909	-1	401600000	-22.294	-39.837	-26.187	-22.158
20684	29822	2	401600000	-22.292	-39.724	-20.603	-47.302
20684	65526	1	401600000	-22.263	-39.663	-21.482	-36.247
20684	66043	-2	401600000	-22.266	-39.637	-12.034	8.126
20685	18015	-2	401600000	-22.218	-39.666	-16.451	-66
20686	2525	-1	401600000	-22.245	-39.571	-19.34	-26.366
20686	18831	2	401600000	-22.191	-39.574	-25.587	-24.145
20687	6952	-1	401600000	-21.92	-39.715	-27.059	-63.715
20687	41554	1	401600000	-21.692	-39.622	-29.105	-5.168
20688	10373	1	401600000	-21.342	-39.515	-29.589	-2.519
20688	27389	-2	401600000	-21.241	-39.465	-20.662	-42.151
20688	30267	0	401600000	-21.238	-39.476	-19.111	-49.266
20688	61260	0	401600000	-21.095	-39.39	-24.35	-54.07
20689	67605	-2	401600000	-20.73	-39.281	-10.361	9.733
20689	67681	-9	401600000	-20.712	-39.264	-25.895	-55.702
20690	16078	2	401600000	-20.579	-39.296	-28.975	-1.151
20690	68991	-1	401600000	-20.331	-39.283	-15.713	-18.496
20691	21789	-9	401600000	-20.18	-39.171	-18.388	-44.461
20692	6085	0	401600000	-19.929	-39.022	-28.763	-78.254
20692	6085	0	401600000	-19.918	-39.02	-24.005	-58.112
20692	24275	0	401600000	-19.857	-39.024	-27.283	-3.527
20692	40484	1	401600000	-19.81	-39.006	-28.56	2.429
20692	58840	0	401600000	-19.799	-39.026	-18.958	-35.262
20692	75528	-2	401600000	-19.711	-39.096	-22.651	-52.693
20693	26347	-2	401600000	-19.762	-39.101	-9.809	-81.374
20693	29200	-9	401600000	-19.71	-39.111	-19.215	-40.765
20693	45214	0	401600000	-19.741	-39.064	-20.753	-34.426
20693	64217	-1	401600000	-19.776	-39.092	-28.678	-78.771
20694	30242	-9	401600000	-21.825	-30.111	-12.016	-75.051
20694	49993	0	401600000	-19.825	-39.225	-12.661	-71.092
20694	64759	-2	401600000	-19.847	-39.244	-17.7	-29.694
20695	70891	2	401600000	-19.691	-39.229	-15.098	-18.374
20696	21733	0	401600000	-19.62	-39.149	-29.49	5.421
20696	56716	0	401600000	-19.531	-39.03	-14.337	-15.556
20697	39755	0	401600000	-19.578	-38.826	-29.988	9.487
20698	44064	-2	401600000	-19.813	-38.846	-22.227	-27.555
20698	61375	-2	401600000	-19.815	-38.919	-22.787	-53.93
20698	61831	1	401600000	-19.839	-38.912	-12.658	-7.413
20699	47017	0	401600000	-19.987	-39.133	-12.205	-73.451
20699	67305	0	401600000	-20.033	-39.205	-22.366	-49.709
20700	974	-2	401600000	-20.129	-39.224	-13.308	-16.044
20700	70022	-1	401600000	-20.234	-39.531	-13.577	-8.761
20701	20110	-2	401600000	-20.4	-39.68	-10.909	-82.925
20701	74485	-1	401600000	-20.564	-39.794	-21.7	-45.153
20702	10544	0	401600000	-20.57	-39.827	-31.282	-90.341
20703	29087	2	401600000	-20.61	-39.861	-17.251	-55.274
20703	64638	-1	401600000	-20.308	-39.589	-17.505	-26.215
20704	12601	-1	401600000	-20.451	-39.654	-24.855	-19.867
20705	68840	-2	401600000	-20.51	-38.985	-12.247	-0.48
20705	68900	2	401600000	-20.481	-39.349	-25.995	-63.726
20706	22815	-2	401600000	-20.943	-38.564	-16.932	-56.369
20708	27895	-2	401600000	-20.64	-39.662	-19.581	-44.283
20708	61341	3	401600000	-20.779	-38.757	-23.853	-52.861
20709	15404	1	401600000	-20.849	-38.64	-19.426	-44.96
20709	66413	0	401646027.2	-20.902	-38.288	-21.655	-41.796
20709	84776	-1	401646044.2	-20.921	-38.387	-15.407	-13.848
20710	14261	-2	401646034.3	-20.933	-38.425	-32.184	14.306
20710	69236	-9	401646034.3	-20.980	-38.159	-15.601	-20.402
20712	58610	-1	401646035.4	-20.932	-37.616	-20.152	-34.253
20712	76645	1	401646038.3	-20.919	-37.537	-26.891	-65.664
