DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"78525",78525,Mk10,11/02/2010 04:56:30.620001500000001,GPS,,-49.56140137,71.45861816,,,,,,,,,
"78525",78525,Mk10,11/02/2010 05:23:21.160001600000001,GPS,,-49.57066345,71.47682190,,,,,,,,,
"78525",78525,Mk10,11/02/2010 05:49:23.660001699999999,GPS,,-49.58176422,71.49373627,,,,,,,,,
"78525",78525,Mk10,11/02/2010 06:14:05.1900018000000001,GPS,,-49.58955002,71.51068115,,,,,,,,,
"78525",78525,Mk10,11/02/2010 06:38:34.250000800000002,GPS,,-49.62231445,71.46110535,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 07:04:56.250000800000002,GPS,,-49.61336136,71.44216919,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 07:34:12.2500008,GPS,,-49.59669495,71.52193451,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 07:59:30.250000799999999,GPS,,-49.64352798,71.50038910,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 08:27:51.250000800000002,GPS,,-49.63370514,71.55889130,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 08:55:50.250000800000002,GPS,,-49.70744705,71.56579590,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 09:23:42.250000800000002,GPS,,-49.64292526,71.54743195,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 09:49:59.250000800000002,GPS,,-49.73804092,71.61171722,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 10:16:57,GPS,,-49.73028183,71.66596985,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 10:42:02,GPS,,-49.72736359,71.69217682,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 11:09:25.899999999999999,GPS,,-49.76833725,71.74008179,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 11:35:50,GPS,,-49.68909454,71.71333313,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 12:03:30,GPS,,-49.70594406,71.76575470,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 12:29:34.899999999999999,GPS,,-49.74745941,71.61217499,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 12:54:29.899999999999999,GPS,,-49.71039581,71.59717560,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 13:18:15,GPS,,-49.69460297,71.79189301,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 13:44:29,GPS,,-49.59168625,71.43187714,,,,,,,,,High Residual
"78525",78525,Mk10,11/02/2010 14:39:21.43,GPS,,-49.80036163,71.83073425,,,,,,,,,
"78525",78525,Mk10,11/02/2010 15:05:24.0699997,GPS,,-49.80913925,71.84973145,,,,,,,,,
"78525",78525,Mk10,11/02/2010 15:31:24.4149998,GPS,,-49.82190323,71.86068726,,,,,,,,,
"78525",78525,Mk10,11/02/2010 15:59:34.559999699999999,GPS,,-49.82857513,71.88519287,,,,,,,,,
"78525",78525,Mk10,11/02/2010 16:31:20.464999800000001,GPS,,-49.82904053,71.91077423,,,,,,,,,
"78525",78525,Mk10,11/02/2010 16:55:11.9099998,GPS,,-49.83370590,71.93335724,,,,,,,,,
"78525",78525,Mk10,11/02/2010 17:22:19.444999899999999,GPS,,-49.83888245,71.95301819,,,,,,,,,
"78525",78525,Mk10,11/02/2010 17:50:20.449999999999999,GPS,,-49.84243774,71.97180176,,,,,,,,,
"78525",78525,Mk10,11/02/2010 18:15:03.9649999999999999,GPS,,-49.84870148,71.98965454,,,,,,,,,
